2019-12-07 09:45:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:45:21 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:45:21 同步部门 任务开始
2019-12-07 09:45:21 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:45:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:45:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:45:42 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:45:42 同步部门 任务开始
2019-12-07 09:45:42 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:45:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:46:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:46:04 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:46:04 同步部门 任务开始
2019-12-07 09:46:04 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:46:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:46:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:46:25 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:46:25 同步部门 任务开始
2019-12-07 09:46:25 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:46:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:46:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:46:46 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:46:46 同步部门 任务开始
2019-12-07 09:46:46 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:46:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:47:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:47:07 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:47:08 同步部门 任务开始
2019-12-07 09:47:08 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:47:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:47:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:47:29 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:47:29 同步部门 任务开始
2019-12-07 09:47:29 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:47:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:47:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:47:50 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:47:50 同步部门 任务开始
2019-12-07 09:47:50 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:48:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:48:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:48:11 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:48:11 同步部门 任务开始
2019-12-07 09:48:11 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:48:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:48:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:48:33 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:48:33 同步部门 任务开始
2019-12-07 09:48:33 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:48:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:48:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:48:54 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:48:54 同步部门 任务开始
2019-12-07 09:48:54 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:49:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:49:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:49:15 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:49:15 同步部门 任务开始
2019-12-07 09:49:15 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:49:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:49:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:49:37 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:49:37 同步部门 任务开始
2019-12-07 09:49:37 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:49:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:49:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:49:58 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:49:58 同步部门 任务开始
2019-12-07 09:49:58 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:50:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:50:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:50:19 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:50:19 同步部门 任务开始
2019-12-07 09:50:19 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:50:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:50:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:50:40 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:50:41 同步部门 任务开始
2019-12-07 09:50:41 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:50:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
